Type,Domain,Name,Description,Category,Keywords,Rating,Comments,Uid,Update Frequency,Time Period,Agency,Sub-Agency,High Value Dataset,Suggested by Public,Data.gov Catalog Type,Identifier,SoQL,Key Identifier,State,Data.gov ID
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>",,White House Visitor Records Requests (dataset/White-House-Visitor-Records-Requests/644b-gaut),A list of White House Visitor Record requests.,,"visitor records, white house, transparency, government",0,0,644b-gaut,,,Executive Office of the President,,,,,white-house-visitor-records,,,,
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,"Worldwide M1+ Earthquakes, Past 7 Days (Geography-and-Environment/Worldwide-M1-Earthquakes-Past-7-Days/7tag-iwnu)","Real-time, worldwide earthquake list for the past 7 days",Geography and Environment,"ANSS, geologist, plate, real time, environment, catalog, federal data downloadaftershock, intensity scale, magnitude scale, seismogram, mercalli, hypocenter, federal datasets, hazard, geophysics, epicenter, subduction, GSN, quake, magnitude, seismograph, foreshock, seismic, focal mechanism, seismology, tectonics, intensity, Waveforms, tsunami, seismicity, fault, richter, Volcano, temblor, earthquake, aftershock, seismologist, landslide",86,6,7tag-iwnu,continuously,continuously,Department of the Interior,US Geological Survey,N,Y,Raw Data Catalog,7tag-iwnu,,,,34
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,U.S. Overseas Loans and Grants (Greenbook) (Foreign-Commerce-and-Aid/U-S-Overseas-Loans-and-Grants-Greenbook-/5gah-bvex),"These data are U.S economic and military assistance by country from 1946 to 2010. This is the authoritative data set of U.S. foreign assistance. The data set is used to report U.S foreign assistance to Congress as required by the Foreign Assistance Act, Section 634.",Foreign Commerce and Aid,"foreign assistance, economic assistance, Greenbook, U.S. Overseas Loans and Grants, military assistance",60,1,5gah-bvex,Annual,FY1946-FY2010,US Agency for International Development,,Y,N,Tool Catalog,5gah-bvex,,,,1554
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Survey of Patients’ Hospital Experiences (HCAHPS) (http://data.medicare.gov/dataset/Survey-of-Patients-Hospital-Experiences-HCAHPS-/rj76-22dk),"A list of hospital ratings for the Hospital Consumer Assessment of Healthcare Providers and Systems (HCAHPS). HCAHPS is a national, standardized survey of hospital patients about their experiences during a recent inpatient hospital stay.",,"hospital compare, hcahps, quality, ratings, patient survey",0,4,rj76-22dk,,,,,,,,rj76-22dk,,,,
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Hospital Outcome Of Care Measures (http://data.medicare.gov/dataset/Hospital-Outcome-Of-Care-Measures/f24z-mvb9),"A list of hospitals and the corresponding Outcome of Care rates for certain conditions. ""Outcome of Care Measures"" show what happened after patients with certain conditions received hospital care.",,"hospital compare, outcome of care, ooc, quality, ratings, readmission rates, mortality rates",0,1,f24z-mvb9,,,,,,,,f24z-mvb9,,,,
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Hospital General Information (http://data.medicare.gov/dataset/Hospital-General-Information/v287-28n3),"A list of all Hospitals that have been registered with Medicare. The list includes addresses, phone numbers, and hospital type.",,"hospital compare, hospital list, emergency services, hospital type",0,5,v287-28n3,,,,,,,,hospital,,provider_number,,
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>",,Federal Data Center Consolidation Initiative (FDCCI) Data Center Closings 2010-2012 (Federal-Government-Finances-and-Employment/Federal-Data-Center-Consolidation-Initiative-FDCCI/d5wm-4c37),"The Administration has expanded the data center consolidation initiative to include data centers of any size, rather than just those 500 square feet and above.  And as we expand the initiative we are also expanding our goal.  Moving forward, the government’s goal will be to close at least 40% of identified data centers, consistent with our original consolidation goal.  That means we’ll be looking to consolidate at least 1200 data centers by the end of 2015 – a goal that requires us to continue aggressively rooting out duplication and waste in our expanded baseline of 3,133 data centers.  This update also reflects a shift from calendar year to fiscal year reporting. 
 
This dataset reflects information provided by the agencies. All questions or inquiries should be directed to the specific agencies. The FY2010 through FY2012 dataset provides a list of planned or closed data centers by agency and by city/state location since the FDCCI started in February 2010. The Data Center Consolidation Task Force meets monthly to review the progress of each consolidation project and ensure government-wide alignment among agency efforts, where appropriate. The Task Force comprises data center program managers, facilities managers, and sustainability officers from 24 agencies that work together to share progress toward individual agency goals.  As its work evolves, the Task Force will serve as a ""community of practice"" for agency CIOs and data center program managers to share best practices and enhance consolidation effectiveness. See collateral information about the FDCCI, including the definition of a data center and other FAQs (http://www.cio.gov/pages.cfm/page/FDCCI ).",Federal Government Finances and Employment,"fddci, federal data center consolidation initiative, consolidation",0,0,d5wm-4c37,One-time,Calendar Year 2011,General Services Administration,Office of Citizen Services and Innovative Technologies,Y,N,Raw Data Catalog,d5wm-4c37,,,,4768
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from info.samhsa.gov"" src=""/api/domains/info.samhsa.gov/icons/smallIcon"">",Health Reform Webinars (http://info.samhsa.gov/Dissemination/Health-Reform-Webinars/nszz-zta2),An aggregated list of webinars regarding health reform hosted by SAMHSA or SAMHSA's stakeholders.,Dissemination,,0,0,nszz-zta2,,,,,,,,nszz-zta2,,,,
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,TSCA Inventory (Geography-and-Environment/TSCA-Inventory/pkhi-wvjh),"This dataset consists of the non confidential identities of chemical substances submitted under the Toxic Substances Control Act (TSCA).  TSCA was enacted to ensure that chemicals manufactured, imported, processed, or distributed in commerce, or used or disposed of in the United States do not pose any unreasonable risks to human health or the environment.  EPA adds chemical substances to the TSCA Inventory following EPA's receipt of a Notice of Commencement (NOC) signaling the manufacturer's intent to produce a chemical substance that EPA has previously reviewed and approved. Since EPA published the final TSCA Inventory Reporting Rule on December 23, 1977, the TSCA Inventory has grown to include the identities of over 83,000 chemical substances.",Geography and Environment,"new chemicals, manufactured chemicals, Substance Inventory, industrial chemicals, Chemical list, pollutant, Chemical Substance Inventory, toxic chemicals, notice of commencement, existing chemicals, TSCA inventory, commercial chemicals, compound, Toxic Substances Control Act",0,0,pkhi-wvjh,semi-annually,1979-Present,Environmental Protection Agency,,N,N,Raw Data Catalog,pkhi-wvjh,,,,1630
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,US GAAP RSS Feed of XBRL Financials (Banking-Finance-and-Insurance/US-GAAP-RSS-Feed-of-XBRL-Financials/y5q6-cm4b),"This is an hourly update of the most recent Interactive Data documents submitted under the ""Interactive Data to Improve Financial Reporting"" rule (Release No. 33-9002) using US GAAP as the base taxonomy.","Banking, Finance, and Insurance","Statements, XBRL, CIK, Central Index Key, Financial, filings, taxonomies, Financial Reporting, SEC, EDGAR, Balance Sheets, taxonomy, US GAAP, Interactive Data, Securities and Exchange Commission",100,0,y5q6-cm4b,Quarterly or Annually,Quarterly or Annual Reports,Securities and Exchange Commission,,N,N,Tool Catalog,y5q6-cm4b,,,,1278
